ALB/O0151/RF19|0|4/23/2019|4/28/2019
GGG/O0015/RF19|0|4/23/2019|4/28/2019
GGG/O0018/RF19|0|4/23/2019|4/28/2019
GGG/O0019/RF19|0|4/23/2019|4/28/2019
GGG/O0021/RF19|0|4/23/2019|4/28/2019
GGG/O0026/RF19|0|4/23/2019|4/28/2019
APLB/O0068/RF19|96|4/24/2019|4/28/2019
LDO/O0038/RF19|96|4/24/2019|4/28/2019
ALB/O0113/RF19|96|4/24/2019|4/28/2019
ALB/O0144/RF19|96|4/24/2019|4/28/2019
AT0/O0121/RF19|96|4/24/2019|4/28/2019
WBR/O0047/RF19|0|4/25/2019|4/30/2019
WBR/O0048/RF19|0|4/25/2019|4/30/2019
AMD/O0160/RF19|0|4/26/2019|6/13/2019
AMD/O0161/RF19|96|4/26/2019|4/30/2019
ANGE/O0095/RF19|0|4/27/2019|5/2/2019
ANGE/O0068/RF19|0|4/27/2019|5/2/2019
ANGE/O0071/RF19|0|4/27/2019|5/2/2019
ANGE/O0069/RF19|0|4/27/2019|5/2/2019
BAR/O0046/RF19|0|4/29/2019|5/4/2019
RBK/O0067/RF19|0|4/29/2019|5/4/2019
KAR/O0028/RF19|0|4/29/2019|5/4/2019
KAR/O0004/RF19|0|4/29/2019|5/4/2019
EAN/O0113/RF19|0|4/29/2019|5/4/2019
WLE/O0072/RF19|96|4/30/2019|5/4/2019
WLE/O0073/RF19|96|4/30/2019|5/4/2019
GGG/O0029/RF19|96|4/30/2019|5/4/2019
HYN/O0080/RF19|96|4/30/2019|5/4/2019
HYN/O0081/RF19|96|4/30/2019|5/4/2019
AT0/O0142/RF19|96|5/2/2019|5/6/2019
AMD/O0167/RF19|96|5/2/2019|5/6/2019
WBR/O0057/RF19|96|5/2/2019|5/6/2019
WBR/O0058/RF19|96|5/2/2019|5/6/2019
WBR/O0060/RF19|96|5/2/2019|5/6/2019
RBK/O0073/RF19|0|5/3/2019|5/8/2019
WLE/O0067/RF19|0|5/3/2019|5/8/2019
AT0/O0144/RF19|96|5/6/2019|5/10/2019
AT0/O0145/RF19|96|5/6/2019|5/10/2019
SVC/O0114/RF19|96|5/6/2019|5/10/2019
GAB/O0064/RF19|96|5/6/2019|5/10/2019
RFO/O0051/RF19|96|5/6/2019|5/10/2019
RCH/O0066/RF19|96|5/6/2019|5/10/2019
HYN/O0089/RF19|96|5/6/2019|5/10/2019
HYN/O0092/RF19|96|5/6/2019|5/10/2019
WLC/O0050/RF19|96|5/8/2019|5/12/2019
AMD/O0169/RF19|96|5/8/2019|5/12/2019
CAA/O0059/RF19|0|5/9/2019|5/14/2019
CAA/O0061/RF19|0|5/9/2019|5/14/2019
WLC/O0056/RF19|0|5/9/2019|5/14/2019
HYN/O0078/RF19|96|5/10/2019|5/14/2019
SVC/O0058/RF18|0|5/13/2019|5/18/2019
WLE/O0080/RF19|0|5/13/2019|5/18/2019
WLE/O0083/RF19|0|5/13/2019|5/18/2019
EAN/O0115/RF19|0|5/13/2019|5/18/2019
RFO/O0059/RF19|0|5/13/2019|5/18/2019
JLS/O0041/RF19|0|5/13/2019|9/12/2019
AMD/O0176/RF19|0|5/13/2019|5/18/2019
AMD/O0177/RF19|0|5/13/2019|5/18/2019
